Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,5.6,,,,,,,11.7,,,,,,,,
LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,
LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.284334183,5.139390469,4.999448776,4.863713264,4.730696678,4.598875046,4.468920708,4.342247486,4.218941689,4.099127769,3.983160019,3.870796204,3.761413336,3.654282808,3.549039364,3.445803642,3.345585585,3.247915268,3.151651144,3.057783127,2.967656612,2.879834175,2.794117451
LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.69871902,28.12843704,27.56510735,27.00881767,26.45965576,25.91769409,25.38300133,24.8556385,24.33565903,23.82311058,23.3180275,22.82044601,22.33039093,21.84788132,21.37292671,20.90553665,20.44570923,19.99343872,19.54871559,19.11152077,18.68183327,18.25962639,17.8448658
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,,29.1,,29.3,,,,,22.9,,,,,,,22.1,,21.6,,,26.1,,,,20.5,,,,,,
LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.30504799,29.60996437,28.92420578,28.24795723,27.58138275,26.92463493,26.2778511,25.64115334,25.01464653,24.39842606,23.79257011,23.19713974,22.61219025,22.03775978,21.47387123,20.92053986,20.37776756,19.84554291,19.32384491,18.81264114,18.31189346,17.82154655,17.3415432
LMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.92998505,22.45392036,21.98567772,21.51016998,21.02104759,20.53142929,20.03726006,19.52898788,19.01376724,18.50245094,18.01231194,17.54159355,17.06880951,16.6089344,16.1686554,15.74407768,15.33712673,14.94906616,14.60413647,14.30585003,14.04428577,13.82208157,13.62808228
LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,18.9,,,,,,,,,,,16.6,,,,,13.4,,,,,10.5,,,,10.5,,,,
LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
