Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428299993,0.457670003,0.464929998,0.536450028,0.581470013,0.680270016,0.721759975,0.77342999,0.794679999,0.751609981,0.719959974,0.773419976,0.749459982,0.720860004,0.727330029,0.730170012,0.740140021,0.761829972,0.791549981,0.835259974,0.863399982,0.925719976,0.987659991,,
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044530001,0.038339999,0.041809998,0.042149998,0.041549999,,,,,,,,,,,0.01497,,0.03994,,,,,
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830089986,1.040969968,0.917069972,0.941240013,0.941690028,1.021350026,0.848770022,0.733910024,0.786220014,0.880410016,0.838249981,0.735319972,0.741259992,0.741850019,0.800109982,0.773829997,0.829479992,0.851620018,0.848919988,0.952300012,1.081050038,1.248440027,,
HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.630270004,0.698949993,0.657109976,0.67185998,0.790960014,0.913100004,0.983550012,0.918649971,0.859730005,0.919309974,0.977100015,0.954169989,0.977270007,1.127629995,1.128170013,1.178769946,1.253810048,1.38361001,1.344169974,1.33920002,1.179630041,1.316799998,1.507550001,1.47736001,1.607660055,,
IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656332097,0.682148051,0.731131111,0.771061462,0.799788056,0.828954628,0.859495836,0.886541152,0.933896615,1.015275391,1.081926106,1.096386922,1.186190315,1.179810666,1.299435932,1.361510959,1.375420694,1.348369832,1.402547325,1.557815825,1.85184958,,
IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642384975,0.66975641,0.715379952,0.764817834,0.790636289,0.814917907,0.853593926,0.85853511,0.92421286,1.0028013,1.067024349,1.084380693,1.181588177,1.162334968,1.287400819,1.332735093,1.360767117,1.318514892,1.391627548,1.531512534,1.838353871,,
IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308046103,,,,,,,,,,,,,,,
IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06769,0.047559999,,,,,,,,0.083319999,,,,0.084700003,,,0.245350003,0.238049999,0.226319999,0.271299988,0.280840009,,
IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
